Second largest eigenvalues, Velocity ($V_2$)
1.410901448038334838e+00,1.180000000000000000e+03
1.410073164203656360e+00,1.185000000000000000e+03
1.409243203975338421e+00,1.190000000000000000e+03
1.408411557133244063e+00,1.195000000000000000e+03
1.407602747782692676e+00,1.200000000000000000e+03
1.406792330311181782e+00,1.205000000000000000e+03
1.406004926078488815e+00,1.210000000000000000e+03
1.405191312838763196e+00,1.215000000000000000e+03
1.404400791294972084e+00,1.220000000000000000e+03
1.403608721412210825e+00,1.225000000000000000e+03
1.402815094056814038e+00,1.230000000000000000e+03
1.402044773626023977e+00,1.235000000000000000e+03
1.401272974420157968e+00,1.240000000000000000e+03
1.400499687890014888e+00,1.245000000000000000e+03
1.399724905403703756e+00,1.250000000000000000e+03
1.398973683342648267e+00,1.255000000000000000e+03
1.398221044145082415e+00,1.260000000000000000e+03
1.397466979760583428e+00,1.265000000000000000e+03
1.396711482062216625e+00,1.270000000000000000e+03
1.395954542845514457e+00,1.275000000000000000e+03
1.395221456907388857e+00,1.280000000000000000e+03
1.394487008658080285e+00,1.285000000000000000e+03
1.393751190474391111e+00,1.290000000000000000e+03
1.393013994661767896e+00,1.295000000000000000e+03
1.392300904918661431e+00,1.300000000000000000e+03
1.391586516621805325e+00,1.305000000000000000e+03
1.390870822651167016e+00,1.310000000000000000e+03
1.390153815821400185e+00,1.315000000000000000e+03
1.389435488881020753e+00,1.320000000000000000e+03
1.388741559393897873e+00,1.325000000000000000e+03
1.388046388979461865e+00,1.330000000000000000e+03
1.387349970956497591e+00,1.335000000000000000e+03
1.386652298583624265e+00,1.340000000000000000e+03
1.385953365058526954e+00,1.345000000000000000e+03
1.385279119600322906e+00,1.350000000000000000e+03
1.384577690460587984e+00,1.355000000000000000e+03
1.383901028912401854e+00,1.360000000000000000e+03
1.383223172577024762e+00,1.365000000000000000e+03
1.382570254985932001e+00,1.370000000000000000e+03
1.381890036528840460e+00,1.375000000000000000e+03
1.381234835763995195e+00,1.380000000000000000e+03
1.380578507012680145e+00,1.385000000000000000e+03
1.379921044428971344e+00,1.390000000000000000e+03
1.379262442116274467e+00,1.395000000000000000e+03
1.378602694126706218e+00,1.400000000000000000e+03
1.377968252635058288e+00,1.405000000000000000e+03
1.377332744404721865e+00,1.410000000000000000e+03
1.376669616507623539e+00,1.415000000000000000e+03
1.376031913539264684e+00,1.420000000000000000e+03
1.375419765063056188e+00,1.425000000000000000e+03
1.374779935428780409e+00,1.430000000000000000e+03
1.374165738677393334e+00,1.435000000000000000e+03
1.373523760957719997e+00,1.440000000000000000e+03
1.372907495231725505e+00,1.445000000000000000e+03
1.372290209379725567e+00,1.450000000000000000e+03
1.371671898318935767e+00,1.455000000000000000e+03
1.371052556924217125e+00,1.460000000000000000e+03
1.370459174538841474e+00,1.465000000000000000e+03
1.369837802286353767e+00,1.470000000000000000e+03
1.369242467763392757e+00,1.475000000000000000e+03
1.368646171823335367e+00,1.480000000000000000e+03
1.368048909793249113e+00,1.485000000000000000e+03
1.367450676962226996e+00,1.490000000000000000e+03
1.366878726556884249e+00,1.495000000000000000e+03
1.366278582502445271e+00,1.500000000000000000e+03
1.365704798984098245e+00,1.505000000000000000e+03
1.365102725270572748e+00,1.510000000000000000e+03
1.364527090899977146e+00,1.515000000000000000e+03
1.363950546091088123e+00,1.520000000000000000e+03
1.363373086510270449e+00,1.525000000000000000e+03
1.362822270540274383e+00,1.530000000000000000e+03
1.362243012354964478e+00,1.535000000000000000e+03
1.361690475406804213e+00,1.540000000000000000e+03
1.361109401705355548e+00,1.545000000000000000e+03
1.360555127546400511e+00,1.550000000000000000e+03
1.360000000000000986e+00,1.555000000000000000e+03
1.359444015112228232e+00,1.560000000000000000e+03
1.358887168898528008e+00,1.565000000000000000e+03
1.358329457343377733e+00,1.570000000000000000e+03
1.357798826157941230e+00,1.575000000000000000e+03
1.357239415518497694e+00,1.580000000000000000e+03
1.356707162810056211e+00,1.585000000000000000e+03
1.356174114724806756e+00,1.590000000000000000e+03
1.355640267686323508e+00,1.595000000000000000e+03
1.355105618091293929e+00,1.600000000000000000e+03
