Second Largest Eigenvalue: Normalized Laplacian, 	Largest Eigenvalue: Weighted Graph, V2	
1.473666549378358059e+00,3.786514137228679147e+02,8.750000000000000000e+02
1.472398137168215992e+00,3.789465670455775239e+02,8.800000000000000000e+02
1.471126310027364825e+00,3.792488805131458207e+02,8.850000000000000000e+02
1.469872323083623034e+00,3.795443091304510403e+02,8.900000000000000000e+02
1.468636319548536573e+00,3.798397217788114517e+02,8.950000000000000000e+02
1.467397047487462913e+00,3.801163293333988804e+02,9.000000000000000000e+02
1.466175932454691688e+00,3.803998563212804811e+02,9.050000000000000000e+02
1.464951610385425873e+00,3.806766651330249260e+02,9.100000000000000000e+02
1.463745619925406416e+00,3.809534785341418797e+02,9.150000000000000000e+02
1.462558104458240971e+00,3.812181258433691369e+02,9.200000000000000000e+02
1.461367532451081974e+00,3.814760369766423764e+02,9.250000000000000000e+02
1.460195610583151948e+00,3.817408471571679343e+02,9.300000000000000000e+02
1.459020696701139652e+00,3.819867483214613344e+02,9.350000000000000000e+02
1.457864608809198881e+00,3.822447287058068355e+02,9.400000000000000000e+02
1.456705594447888164e+00,3.824907620720990735e+02,9.450000000000000000e+02
1.455565582545478076e+00,3.827367188370955660e+02,9.500000000000000000e+02
1.454444716109672964e+00,3.829756927644099278e+02,9.550000000000000000e+02
1.453321078265725763e+00,3.832026892468846313e+02,9.600000000000000000e+02
1.452194648354002693e+00,3.834298305223118177e+02,9.650000000000000000e+02
1.451087574645989253e+00,3.836689844479384988e+02,9.700000000000000000e+02
1.450000000000000178e+00,3.838959840440076050e+02,9.750000000000000000e+02
1.448909790492477478e+00,3.841109594733476342e+02,9.800000000000000000e+02
1.447816926879721633e+00,3.843312305109560043e+02,9.850000000000000000e+02
1.446743774438995933e+00,3.845462610535255408e+02,9.900000000000000000e+02
1.445668037893676150e+00,3.847665782732946127e+02,9.950000000000000000e+02
1.444612190566115562e+00,3.849746681509370774e+02,1.000000000000000000e+03
1.443553829878631456e+00,3.851828658862676775e+02,1.005000000000000000e+03
1.442515536450417857e+00,3.853788366040521396e+02,1.010000000000000000e+03
1.441474801092881952e+00,3.855800669719940856e+02,1.015000000000000000e+03
1.440454310910904479e+00,3.857760370358915338e+02,1.020000000000000000e+03
1.439431450854397054e+00,3.859772593133502596e+02,1.025000000000000000e+03
1.438406204335660465e+00,3.861734213238822235e+02,1.030000000000000000e+03
1.437401417464553077e+00,3.863625103306325173e+02,1.035000000000000000e+03
1.436394317103236284e+00,3.865516846700930955e+02,1.040000000000000000e+03
1.435407854775266889e+00,3.867407551740773215e+02,1.045000000000000000e+03
1.434419152432302447e+00,3.869177522930214081e+02,1.050000000000000000e+03
1.433428194745105078e+00,3.870999894920335578e+02,1.055000000000000000e+03
1.432458090455016375e+00,3.872769917409152640e+02,1.060000000000000000e+03
1.431485805096760711e+00,3.874470631197461898e+02,1.065000000000000000e+03
1.430534551458998216e+00,3.876239975844640071e+02,1.070000000000000000e+03
1.429581191394594830e+00,3.877940169218018696e+02,1.075000000000000000e+03
1.428625710848054009e+00,3.879641030290595722e+02,1.080000000000000000e+03
1.427691477586355173e+00,3.881340453497924159e+02,1.085000000000000000e+03
1.426755199148176834e+00,3.883040617116540716e+02,1.090000000000000000e+03
1.425816862042826871e+00,3.884620325350250027e+02,1.095000000000000000e+03
1.424899988232525061e+00,3.886319863127873759e+02,1.100000000000000000e+03
1.423981131655642773e+00,3.887898751544534548e+02,1.105000000000000000e+03
1.423060279392902583e+00,3.889408621903945686e+02,1.110000000000000000e+03
1.422161106687954479e+00,3.891107630774278618e+02,1.115000000000000000e+03
1.421260014717749876e+00,3.892616508314577004e+02,1.120000000000000000e+03
1.420356991139674951e+00,3.894195745187249145e+02,1.125000000000000000e+03
1.419475863429590312e+00,3.895703420957639196e+02,1.130000000000000000e+03
1.418592880971474957e+00,3.897090987452923514e+02,1.135000000000000000e+03
1.417708032003216045e+00,3.898599810790668130e+02,1.140000000000000000e+03
1.416845295043616337e+00,3.899986143905655354e+02,1.145000000000000000e+03
1.415980768786251343e+00,3.901493976832326780e+02,1.150000000000000000e+03
1.415114442051827348e+00,3.902881345808631295e+02,1.155000000000000000e+03
1.414270443068293526e+00,3.904387813438435160e+02,1.160000000000000000e+03
1.413400532171887658e+00,3.905706241876429772e+02,1.165000000000000000e+03
1.412577265490963629e+00,3.907090747164214690e+02,1.170000000000000000e+03
1.411728065596697723e+00,3.908477824543993506e+02,1.175000000000000000e+03
1.410901448038334838e+00,3.909793248213923107e+02,1.180000000000000000e+03
1.410073164203656360e+00,3.911179171990252144e+02,1.185000000000000000e+03
1.409243203975338421e+00,3.912495358677248873e+02,1.190000000000000000e+03
1.408411557133244063e+00,3.913811963337130919e+02,1.195000000000000000e+03
1.407602747782692676e+00,3.915196957882563993e+02,1.200000000000000000e+03
1.406792330311181782e+00,3.916391559620941507e+02,1.205000000000000000e+03
1.406004926078488815e+00,3.917705061762349601e+02,1.210000000000000000e+03
1.405191312838763196e+00,3.918900232634834992e+02,1.215000000000000000e+03
1.404400791294972084e+00,3.920214611303176184e+02,1.220000000000000000e+03
1.403608721412210825e+00,3.921408368969279081e+02,1.225000000000000000e+03
1.402815094056814038e+00,3.922602602590478114e+02,1.230000000000000000e+03
1.402044773626023977e+00,3.923845772765102424e+02,1.235000000000000000e+03
1.401272974420157968e+00,3.925038401271619932e+02,1.240000000000000000e+03
1.400499687890014888e+00,3.926231492645092089e+02,1.245000000000000000e+03
1.399724905403703756e+00,3.927354859377077219e+02,1.250000000000000000e+03
1.398973683342648267e+00,3.928546405869832938e+02,1.255000000000000000e+03
1.398221044145082415e+00,3.929738401900636404e+02,1.260000000000000000e+03
1.397466979760583428e+00,3.930860326908259594e+02,1.265000000000000000e+03
1.396711482062216625e+00,3.931982680310232467e+02,1.270000000000000000e+03
1.395954542845514457e+00,3.933054808732650827e+02,1.275000000000000000e+03
1.395221456907388857e+00,3.934175571137158158e+02,1.280000000000000000e+03
1.394487008658080285e+00,3.935175967050852819e+02,1.285000000000000000e+03
1.393751190474391111e+00,3.936367427031011061e+02,1.290000000000000000e+03
1.393013994661767896e+00,3.937488907230322752e+02,1.295000000000000000e+03
1.392300904918661431e+00,3.938488038368061552e+02,1.300000000000000000e+03
1.391586516621805325e+00,3.939487281141385324e+02,1.305000000000000000e+03
1.390870822651167016e+00,3.940607464134650400e+02,1.310000000000000000e+03
1.390153815821400185e+00,3.941607219009794107e+02,1.315000000000000000e+03
1.389435488881020753e+00,3.942607154213441731e+02,1.320000000000000000e+03
1.388741559393897873e+00,3.943726012665567850e+02,1.325000000000000000e+03
1.388046388979461865e+00,3.944724227989635210e+02,1.330000000000000000e+03
1.387349970956497591e+00,3.945652532606702607e+02,1.335000000000000000e+03
1.386652298583624265e+00,3.946651305136830388e+02,1.340000000000000000e+03
1.385953365058526954e+00,3.947650394600792083e+02,1.345000000000000000e+03
1.385279119600322906e+00,3.948647431216832615e+02,1.350000000000000000e+03
1.384577690460587984e+00,3.949576455649115587e+02,1.355000000000000000e+03
1.383901028912401854e+00,3.950573961182998914e+02,1.360000000000000000e+03
1.383223172577024762e+00,3.951501431453709188e+02,1.365000000000000000e+03
1.382570254985932001e+00,3.952497242095800516e+02,1.370000000000000000e+03
1.381890036528840460e+00,3.953304246324154860e+02,1.375000000000000000e+03
1.381234835763995195e+00,3.954300512533100118e+02,1.380000000000000000e+03
1.380578507012680145e+00,3.955226499218690037e+02,1.385000000000000000e+03
1.379921044428971344e+00,3.956102456409332717e+02,1.390000000000000000e+03
1.379262442116274467e+00,3.957028874598863695e+02,1.395000000000000000e+03
1.378602694126706218e+00,3.957955365965061674e+02,1.400000000000000000e+03
1.377968252635058288e+00,3.958759369345515324e+02,1.405000000000000000e+03
1.377332744404721865e+00,3.959754445165995094e+02,1.410000000000000000e+03
1.376669616507623539e+00,3.960560831150679064e+02,1.415000000000000000e+03
1.376031913539264684e+00,3.961365268862987250e+02,1.420000000000000000e+03
1.375419765063056188e+00,3.962288338864336197e+02,1.425000000000000000e+03
1.374779935428780409e+00,3.963093186661355958e+02,1.430000000000000000e+03
1.374165738677393334e+00,3.964016655176457107e+02,1.435000000000000000e+03
1.373523760957719997e+00,3.964821707047879045e+02,1.440000000000000000e+03
1.372907495231725505e+00,3.965624862894185299e+02,1.445000000000000000e+03
1.372290209379725567e+00,3.966428087167580543e+02,1.450000000000000000e+03
1.371671898318935767e+00,3.967231640709684370e+02,1.455000000000000000e+03
1.371052556924217125e+00,3.968035064586167664e+02,1.460000000000000000e+03
1.370459174538841474e+00,3.968957269508080117e+02,1.465000000000000000e+03
1.369837802286353767e+00,3.969761274804477011e+02,1.470000000000000000e+03
1.369242467763392757e+00,3.970492709548370840e+02,1.475000000000000000e+03
1.368646171823335367e+00,3.971294665167641824e+02,1.480000000000000000e+03
1.368048909793249113e+00,3.972096746038536139e+02,1.485000000000000000e+03
1.367450676962226996e+00,3.972778475756702505e+02,1.490000000000000000e+03
1.366878726556884249e+00,3.973508214926049504e+02,1.495000000000000000e+03
1.366278582502445271e+00,3.974310667314599641e+02,1.500000000000000000e+03
1.365704798984098245e+00,3.975111067408240046e+02,1.505000000000000000e+03
1.365102725270572748e+00,3.975843388793173858e+02,1.510000000000000000e+03
1.364527090899977146e+00,3.976644274523928289e+02,1.515000000000000000e+03
1.363950546091088123e+00,3.977374581695476081e+02,1.520000000000000000e+03
1.363373086510270449e+00,3.978055053876390161e+02,1.525000000000000000e+03
1.362822270540274383e+00,3.978783468573377604e+02,1.530000000000000000e+03
1.362243012354964478e+00,3.979584628103172577e+02,1.535000000000000000e+03
1.361690475406804213e+00,3.980192810326978474e+02,1.540000000000000000e+03
1.361109401705355548e+00,3.980994319357153586e+02,1.545000000000000000e+03
