Second largest eigenvalues, Velocity ($V_2$) No Noise
1.342461676688063266e+00,1.725000000000000000e+03
1.393751190474391111e+00,1.290000000000000000e+03
1.397466979760583428e+00,1.265000000000000000e+03
1.457864608809198881e+00,9.400000000000000000e+02
1.372290209379725567e+00,1.450000000000000000e+03
1.434419152432302447e+00,1.050000000000000000e+03
1.358329457343377733e+00,1.570000000000000000e+03
1.406792330311181782e+00,1.205000000000000000e+03
1.331541852561633377e+00,1.845000000000000000e+03
1.319249119027758876e+00,1.995000000000000000e+03
1.362822270540274383e+00,1.530000000000000000e+03
1.573341085218912916e+00,5.800000000000000000e+02
1.469872323083623034e+00,8.900000000000000000e+02
1.334604243846368776e+00,1.810000000000000000e+03
1.451087574645989253e+00,9.700000000000000000e+02
1.378602694126706218e+00,1.400000000000000000e+03
1.415114442051827348e+00,1.155000000000000000e+03
1.399724905403703756e+00,1.250000000000000000e+03
1.333286663399542160e+00,1.825000000000000000e+03
1.327291918629226464e+00,1.895000000000000000e+03
1.398221044145082415e+00,1.260000000000000000e+03
1.337312911107773727e+00,1.780000000000000000e+03
1.443553829878631456e+00,1.005000000000000000e+03
1.453321078265725763e+00,9.600000000000000000e+02
1.325238374119660723e+00,1.920000000000000000e+03
1.562476666182695428e+00,6.050000000000000000e+02
1.416845295043616337e+00,1.145000000000000000e+03
1.432458090455016375e+00,1.060000000000000000e+03
1.517416659955978853e+00,7.250000000000000000e+02
1.484252000512129355e+00,8.350000000000000000e+02
1.379262442116274467e+00,1.395000000000000000e+03
1.473666549378358059e+00,8.750000000000000000e+02
1.584824760077750971e+00,5.550000000000000000e+02
1.415980768786251343e+00,1.150000000000000000e+03
1.332415402771892854e+00,1.835000000000000000e+03
1.368646171823335367e+00,1.480000000000000000e+03
1.506142272488672829e+00,7.600000000000000000e+02
1.429581191394594830e+00,1.075000000000000000e+03
1.406004926078488815e+00,1.210000000000000000e+03
1.456705594447888164e+00,9.450000000000000000e+02
1.550163612028277127e+00,6.350000000000000000e+02
1.343918595019228945e+00,1.710000000000000000e+03
1.512503658523526973e+00,7.400000000000000000e+02
1.405191312838763196e+00,1.215000000000000000e+03
1.489795875850338680e+00,8.150000000000000000e+02
1.382570254985932001e+00,1.370000000000000000e+03
1.336867926641881477e+00,1.785000000000000000e+03
1.409243203975338421e+00,1.190000000000000000e+03
1.519095366960639071e+00,7.200000000000000000e+02
1.529471434545812469e+00,6.900000000000000000e+02
1.370459174538841474e+00,1.465000000000000000e+03
1.421260014717749876e+00,1.120000000000000000e+03
1.358887168898528008e+00,1.565000000000000000e+03
1.383223172577024762e+00,1.365000000000000000e+03
1.391586516621805325e+00,1.305000000000000000e+03
1.338230690505753717e+00,1.770000000000000000e+03
1.359444015112228232e+00,1.560000000000000000e+03
1.524194620346298823e+00,7.050000000000000000e+02
1.522474879778923595e+00,7.100000000000000000e+02
1.410073164203656360e+00,1.185000000000000000e+03
1.369242467763392757e+00,1.475000000000000000e+03
1.330242335263061459e+00,1.860000000000000000e+03
1.394487008658080285e+00,1.285000000000000000e+03
1.328115833205289364e+00,1.885000000000000000e+03
1.374165738677393334e+00,1.435000000000000000e+03
1.435407854775266889e+00,1.045000000000000000e+03
1.362243012354964478e+00,1.535000000000000000e+03
1.338703410080265055e+00,1.765000000000000000e+03
1.420356991139674951e+00,1.125000000000000000e+03
1.328968083558268232e+00,1.875000000000000000e+03
1.464951610385425873e+00,9.100000000000000000e+02
1.534883164812653078e+00,6.750000000000000000e+02
1.381890036528840460e+00,1.375000000000000000e+03
1.323604697122896079e+00,1.940000000000000000e+03
1.376031913539264684e+00,1.420000000000000000e+03
1.322800247831378728e+00,1.950000000000000000e+03
1.510881590977791511e+00,7.450000000000000000e+02
1.364527090899977146e+00,1.515000000000000000e+03
1.446743774438995933e+00,9.900000000000000000e+02
1.467397047487462913e+00,9.000000000000000000e+02
1.447816926879721633e+00,9.850000000000000000e+02
1.339175470811201807e+00,1.760000000000000000e+03
1.324006172780705093e+00,1.935000000000000000e+03
1.354570162309238990e+00,1.605000000000000000e+03
1.566762736954362190e+00,5.950000000000000000e+02
1.363373086510270449e+00,1.525000000000000000e+03
1.335052234733631549e+00,1.805000000000000000e+03
1.365102725270572748e+00,1.510000000000000000e+03
1.418592880971474957e+00,1.135000000000000000e+03
1.498517803092326517e+00,7.850000000000000000e+02
1.377332744404721865e+00,1.410000000000000000e+03
